"工事名","工事番号","請負金額（本工事）","請負金額（追加・各戸）","実行予算時利益率","大工種コード","大工種名称","中工種コード","中工種名称","小工種コード","小工種名称","元積原価","実行予算額（1回目）","取極め金額（税抜）","支払先業者コード","支払先業者名称","出面","注文書番号","月別原価金額1","原価発生月1","月別原価金額2","原価発生月2","月別原価金額3","原価発生月3","月別原価金額4","原価発生月4","月別原価金額5","原価発生月5","月別原価金額6","原価発生月6","月別原価金額7","原価発生月7","月別原価金額8","原価発生月8"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A010","仮設建物・備品ﾘｰｽ","A100","仮設建物・備品ﾘｰｽ(外注費)","0","0","0","0800377","株式会社キャドプラス","0","","199000","2025/01","8000","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A010","仮設建物・備品ﾘｰｽ","A100","仮設建物・備品ﾘｰｽ(外注費)","0","100000","195800","0800405","株式会社インテリジェンスドローン","0","","0","2025/01","0","2025/02","103800","2025/03","32000","2025/04","20000","2025/05","20000","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A040","安全対策費","A400","安全対策費(外注費)","0","0","0","0800424","輝進株式会社","0","","0","2025/01","0","2025/02","558700","2025/03","409250","2025/04","130200","2025/05","105000","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A030","養生費","A300","養生費(外注費)","0","0","0","0800502","ファインアート合同会社","0","","0","2025/01","0","2025/02","22000","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A010","仮設建物・備品ﾘｰｽ","A100","仮設建物・備品ﾘｰｽ(外注費)","530000","650000","650000","0810003","三栄機材株式会社","1","0000017815","0","2025/01","0","2025/02","351000","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A010","仮設建物・備品ﾘｰｽ","A100","仮設建物・備品ﾘｰｽ(外注費)","0","0","0","0810003","三栄機材株式会社","0","","0","2025/01","0","2025/02","0","2025/03","78392","2025/04","33674","2025/05","54816","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A010","仮設建物・備品ﾘｰｽ","A100","仮設建物・備品ﾘｰｽ(外注費)","0","0","0","9999994","仕訳データ","0","","0","2025/01","0","2025/02","128190","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A010","仮設建物・備品ﾘｰｽ","A100","仮設建物・備品ﾘｰｽ(外注費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A020","仮設電気工事","A200","仮設電気(外注費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A030","養生費","A300","養生費(外注費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A030","養生費","A301","養生費(材料費)","0","0","200000","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A040","安全対策費","A400","安全対策費(外注費)","1609000","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A040","安全対策費","A401","安全対策費(材料費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A050","廃材処理","A500","廃材処理(外注費)","970000","900000","700000","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","B001","足場架設工事","B020","楔式足場","B200","楔式足場(外注費)","10752500","10700000","10700000","0800509","株式会社砂川工業","106","0000017820","0","2025/01","0","2025/02","4333500","2025/03","1444500","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","B001","足場架設工事","B020","楔式足場","B200","楔式足場(外注費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","B001","足場架設工事","B020","楔式足場","B201","楔式足場(材料費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","B001","足場架設工事","B070","防犯対策費","B700","防犯対策費(外注費)","126000","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","B001","足場架設工事","B070","防犯対策費","B701","防犯対策費(材料費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","B001","足場架設工事","B080","壁繋ぎ部補修","B800","壁繋ぎ部補修(外注費)","3750000","625000","375000","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","B001","足場架設工事","B080","壁繋ぎ部補修","B801","壁繋ぎ部補修(材料費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","C001","シーリング工事","C010","ｼｰﾘﾝｸﾞ工事全般","C100","ｼｰﾘﾝｸﾞ工事全般(外注費)","8049475","8583000","8583000","0522043","有限会社義人総建","128","0000017859","0","2025/01","0","2025/02","1900000","2025/03","4270000","2025/04","1470000","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","C001","シーリング工事","C010","ｼｰﾘﾝｸﾞ工事全般","C100","ｼｰﾘﾝｸﾞ工事全般(外注費)","0","0","0","0522043","有限会社義人総建","0","","0","2025/01","0","2025/02","0","2025/03","-235800","2025/04","-527600","2025/05","-399200","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","C001","シーリング工事","C010","ｼｰﾘﾝｸﾞ工事全般","C101","ｼｰﾘﾝｸﾞ工事全般(材料費)","0","0","0","0620017","化研マテリアル株式会社","0","","0","2025/01","0","2025/02","221600","2025/03","495200","2025/04","376200","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","C001","シーリング工事","C010","ｼｰﾘﾝｸﾞ工事全般","C100","ｼｰﾘﾝｸﾞ工事全般(外注費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","C001","シーリング工事","C010","ｼｰﾘﾝｸﾞ工事全般","C101","ｼｰﾘﾝｸﾞ工事全般(材料費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","D001","躯体補修工事","D010","躯体補修工事","D100","躯体補修工事(外注費）","822100","679200","679200","0522043","有限会社義人総建","35","0000017859","0","2025/01","0","2025/02","0","2025/03","679200","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","D001","躯体補修工事","D010","躯体補修工事","D100","躯体補修工事(外注費）","0","0","0","0522043","有限会社義人総建","0","","0","2025/01","0","2025/02","325000","2025/03","0","2025/04","-54300","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","D001","躯体補修工事","D020","ﾀｲﾙ補修工事","D200","ﾀｲﾙ補修工事(外注費)","3684600","3756250","3756250","0522043","有限会社義人総建","30","0000017859","0","2025/01","0","2025/02","0","2025/03","1280800","2025/04","1680000","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","D001","躯体補修工事","D020","ﾀｲﾙ補修工事","D200","ﾀｲﾙ補修工事(外注費)","0","0","0","0522043","有限会社義人総建","0","","0","2025/01","0","2025/02","0","2025/03","259400","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","D001","躯体補修工事","D030","洗浄工事","D300","洗浄工事(外注費)","1771450","1879290","1879290","0522043","有限会社義人総建","10","0000017859","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","D001","躯体補修工事","D010","躯体補修工事","D101","躯体補修工事(材料費）","0","0","0","0620017","化研マテリアル株式会社","0","","0","2025/01","0","2025/02","0","2025/03","48280","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","D001","躯体補修工事","D020","ﾀｲﾙ補修工事","D201","ﾀｲﾙ補修工事(材料費)","0","0","0","0620017","化研マテリアル株式会社","0","","0","2025/01","0","2025/02","14700","2025/03","33880","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","D001","躯体補修工事","D020","ﾀｲﾙ補修工事","D201","ﾀｲﾙ補修工事(材料費)","0","0","0","0628030","小瀧窯業株式会社","0","","0","2025/01","0","2025/02","0","2025/03","510900","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","D001","躯体補修工事","D020","ﾀｲﾙ補修工事","D201","ﾀｲﾙ補修工事(材料費)","0","0","0","0658003","野口興産株式会社南関東支店","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","17420","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","D001","躯体補修工事","D020","ﾀｲﾙ補修工事","D200","ﾀｲﾙ補修工事(外注費)","0","0","220000","0800080","小野タイル","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","220000","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","D001","躯体補修工事","D010","躯体補修工事","D100","躯体補修工事(外注費）","0","250000","325000","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","D001","躯体補修工事","D010","躯体補修工事","D101","躯体補修工事(材料費）","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","D001","躯体補修工事","D020","ﾀｲﾙ補修工事","D200","ﾀｲﾙ補修工事(外注費)","911360","945000","945000","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","D001","躯体補修工事","D020","ﾀｲﾙ補修工事","D201","ﾀｲﾙ補修工事(材料費)","0","0","60000","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","D001","躯体補修工事","D030","洗浄工事","D300","洗浄工事(外注費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","D001","躯体補修工事","D030","洗浄工事","D301","洗浄工事(材料費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","E001","外壁塗装工事","E010","タイル物件","E100","ﾀｲﾙ物件(外注費)","2752050","2659000","2659000","0522043","有限会社義人総建","0","0000017859","0","2025/01","0","2025/02","0","2025/03","0","2025/04","710000","2025/05","1910000","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","E001","外壁塗装工事","E010","タイル物件","E101","ﾀｲﾙ物件(材料費)","0","0","0","0620017","化研マテリアル株式会社","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","1260","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","E001","外壁塗装工事","E010","タイル物件","E101","ﾀｲﾙ物件(材料費)","0","0","0","0640001","竹内化成株式会社","0","","0","2025/01","0","2025/02","19900","2025/03","0","2025/04","474400","2025/05","217600","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","E001","外壁塗装工事","E010","タイル物件","E100","ﾀｲﾙ物件(外注費)","0","50000","50000","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","E001","外壁塗装工事","E010","タイル物件","E101","ﾀｲﾙ物件(材料費)","715800","715800","815800","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","F001","鉄部塗装工事","F020","共用部・外構鉄部","F200","共用部･外構鉄部(外注費)","2083500","2152500","2152500","0522043","有限会社義人総建","86","0000017859","0","2025/01","0","2025/02","500000","2025/03","1080000","2025/04","100000","2025/05","120000","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","F001","鉄部塗装工事","F030","機械式駐車場","F300","機械式駐車場(外注費)","60000","52500","52500","0522043","有限会社義人総建","0","0000017859","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","F001","鉄部塗装工事","F020","共用部・外構鉄部","F201","共用部･外構鉄部(材料費)","0","0","0","0640001","竹内化成株式会社","0","","0","2025/01","0","2025/02","123300","2025/03","185400","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","F001","鉄部塗装工事","F020","共用部・外構鉄部","F200","共用部･外構鉄部(外注費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","F001","鉄部塗装工事","F020","共用部・外構鉄部","F201","共用部･外構鉄部(材料費)","118300","539300","439300","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","F001","鉄部塗装工事","F030","機械式駐車場","F300","機械式駐車場(外注費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","F001","鉄部塗装工事","F030","機械式駐車場","F301","機械式駐車場(材料費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","H001","屋上防水工事","H010","塗膜防水","H100","塗膜防水(外注費)","267800","282240","282240","0522043","有限会社義人総建","0","0000017859","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","H001","屋上防水工事","H020","ｱｽﾌｧﾙﾄ防水","H200","ｱｽﾌｧﾙﾄ防水(外注費)","1378700","3052820","1652820","0522043","有限会社義人総建","0","0000017859","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","H001","屋上防水工事","H010","塗膜防水","H101","塗膜防水(材料費)","0","0","0","0620017","化研マテリアル株式会社","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","69620","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","H001","屋上防水工事","H020","ｱｽﾌｧﾙﾄ防水","H200","ｱｽﾌｧﾙﾄ防水(外注費)","540000","0","331000","0800331","株式会社トラストホーム","0","0000018232","0","2025/01","0","2025/02","0","2025/03","0","2025/04","331000","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","H001","屋上防水工事","H020","ｱｽﾌｧﾙﾄ防水","H200","ｱｽﾌｧﾙﾄ防水(外注費)","0","0","603000","0800331","株式会社トラストホーム","0","0000018330","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","603000","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","H001","屋上防水工事","H010","塗膜防水","H100","塗膜防水(外注費)","0","0","0","0800409","株式会社クワノ技建","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","-74360","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","H001","屋上防水工事","H030","塩ビシート","H300","塩ビシート","0","0","8150000","0800409","株式会社クワノ技建","0","0000018185","0","2025/01","0","2025/02","0","2025/03","0","2025/04","4914450","2025/05","2273850","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","H001","屋上防水工事","H010","塗膜防水","H100","塗膜防水(外注費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","H001","屋上防水工事","H010","塗膜防水","H101","塗膜防水(材料費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","H001","屋上防水工事","H020","ｱｽﾌｧﾙﾄ防水","H200","ｱｽﾌｧﾙﾄ防水(外注費)","1070000","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","H001","屋上防水工事","H020","ｱｽﾌｧﾙﾄ防水","H201","ｱｽﾌｧﾙﾄ防水(材料費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","I001","ルーフバルコニー防水工事","I010","塗膜防水","I100","塗膜防水(外注費)","884700","1071750","1071750","0522043","有限会社義人総建","8","0000017859","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","I001","ルーフバルコニー防水工事","I010","塗膜防水","I100","塗膜防水(外注費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","I001","ルーフバルコニー防水工事","I010","塗膜防水","I101","塗膜防水(材料費)","0","0","0","","","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","J001","バルコニー防水工事","J010","塗膜防水","J100","塗膜防水(外注費)","4145400","4604830","4545390","0522043","有限会社義人総建","2","0000017859","0","2025/01","0","2025/02","2800000","2025/03","0","2025/04","0","2025/05","1141700","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","J001","バルコニー防水工事","J010","塗膜防水","J100","塗膜防水(外注費)","0","0","0","0522043","有限会社義人総建","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","-158100","2025/05","-479500","2025/06","-727180","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","J001","バルコニー防水工事","J040","ｼｰﾄ防水","J400","ｼｰﾄ防水(外注費)","4275800","4366500","4366500","0522043","有限会社義人総建","21","0000017859","0","2025/01","0","2025/02","0","2025/03","1840000","2025/04","1860000","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","J001","バルコニー防水工事","J010","塗膜防水","J101","塗膜防水(材料費)","0","0","0","0620017","化研マテリアル株式会社","0","","0","2025/01","0","2025/02","0","2025/03","149560","2025/04","803080","2025/05","688060","2025/06","0","2025/07","0","2025/08"
